shell,n_train_roots,target,candidate_count,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
20,20,riotass2,4446,0.7615149677370006,0.2492397429197069,2.4418284104768007,65,2,191,59,0.0
20,20,unab,2328,0.9289171272186205,0.26914062388558363,2.3685308652972776,1,15,91,160,0.7
40,40,dfrn2,3972,0.8924199760863811,0.3738236358736962,2.558663917976124,40,5,1137,386,0.0
40,40,disjr,1980,0.9395362718089992,0.3769301188862289,2.0168432502194245,2,1,158,312,0.8
40,40,ecexg,4836,0.8897170107567931,0.36364570494345744,2.4920024329616424,1,2,1742,2634,0.9
40,40,elunsn,2058,0.9568683116728574,0.5028654842536574,1.7577129414141466,1,1,8,343,1.0
40,40,exmoeu,1302,0.9408014610630934,0.4262507658615805,2.1055816287795768,1,7,99,36,0.5
40,40,f1imapss,6294,0.8468926327765969,0.367503286248914,3.4067200343388184,155,5,443,21,0.0
40,40,funoprabg,5802,0.844059549411874,0.29278169108725144,1.9848307663667217,10,1,204,31,0.1
40,40,fveq2,3126,0.9112319067495331,0.28973605955354037,2.6167103524031052,1,4,460,269,1.0
40,40,fvtp1g,6240,0.8228413461538462,0.2729529510206212,1.9009132125530686,445,4,807,1419,0.0
40,40,ixpf,7104,0.7818023391846238,0.30337298126708345,3.4865851673697197,8,1,855,769,0.1
40,40,nftru,444,0.8886961285609934,0.45053515677810585,3.8935461319520095,11,1,25,116,0.0
40,40,oen0,9282,0.7243296677666481,0.16826584050134422,2.876033988967683,4,4,234,45,0.1
40,40,ofmres,8832,0.7923055551453213,0.08166133160805318,3.1490174698123155,4,12,458,1000,0.1
40,40,onxpdisj,6114,0.8557536348148669,0.2589697566837971,3.024015420069009,1,16,54,543,0.7
40,40,opelidres,4536,0.908019092410627,0.4631127250818438,2.1214163362493585,1,4,184,369,0.9
40,40,pm2.48,516,0.9406300703082747,0.14587573254821123,2.533508455111764,1,7,117,71,0.7
40,40,rabxm,2682,0.9264847929772934,0.378037113507081,2.024178490109388,1,4,537,62,0.9
40,40,rex0,1764,0.9400319311398029,0.26210520419895655,1.8444959429135288,1,2,275,622,1.0
40,40,riotass2,4446,0.785092909789266,0.2180860126539435,2.374583209577906,78,2,78,59,0.0
40,40,unab,2328,0.9353006430013818,0.30059941747061736,1.993248804988085,1,15,114,160,1.0
80,80,dfrn2,3972,0.8999249276658665,0.418547331218153,2.826306683621667,1,5,253,386,0.9
80,80,disjr,1980,0.9417309458218549,0.42416089698139636,2.8806522173272313,1,1,176,312,0.8
80,80,ecexg,4836,0.8919225535530666,0.35175128323067584,2.961626828117725,2,2,2060,2634,0.7
80,80,elunsn,2058,0.9545750495116831,0.46851590930369935,1.768492489354254,1,1,15,343,1.0
80,80,exmoeu,1302,0.9414215634224554,0.45247586482158303,2.1005178871525017,1,7,19,36,0.7
80,80,f1imapss,6294,0.8636188989286633,0.4129061238311937,3.187795799268094,121,5,501,21,0.0
80,80,funoprabg,5802,0.8565071346149938,0.29405166364459756,2.1216052096095863,13,1,362,31,0.0
