shell,n_train_roots,target,candidate_count,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
640,640,riotass2,4446,0.8516656012500888,0.1786995721191333,3.88166984975722,4,2,733,59,0.2
640,640,unab,2328,0.9360924380911894,0.3324866214186713,1.5333167398598735,2,15,104,160,0.9
1280,1280,dfrn2,3972,0.9073947390038426,0.3761215304576108,3.7548776961890407,1,5,39,386,1.0
1280,1280,disjr,1980,0.9410936639118457,0.442501892838357,1.5199434318361333,1,1,112,312,0.8
1280,1280,ecexg,4836,0.8430564192871085,0.3963020101063189,2.246884112437237,1,2,2565,2634,0.3
1280,1280,elunsn,2058,0.947309369395405,0.49267165125271223,1.5451367953302453,1,1,23,343,1.0
1280,1280,exmoeu,1302,0.9365456900762387,0.4482998898863701,2.0857490066639914,3,7,27,36,0.6
1280,1280,f1imapss,6294,0.8218464905066426,0.36448803233501564,3.0945977684003134,14,5,87,21,0.0
1280,1280,funoprabg,5802,0.8511810105776029,0.3355782944051481,1.9779911013690672,1,1,103,31,0.9
1280,1280,fveq2,3126,0.8948541303635045,0.39298303904022314,1.6409905419581505,1,4,89,269,1.0
1280,1280,fvtp1g,6240,0.8258555843195265,0.23615002686999134,3.3156233976939706,64,4,277,1419,0.0
1280,1280,ixpf,7104,0.8092255552638788,0.28985365428092197,2.574692620679365,1,1,50,769,0.6
1280,1280,nftru,444,0.937563915266618,0.5192628779472778,3.017073079025192,1,1,1,116,0.7
1280,1280,oen0,9282,0.7216351101282159,0.2455293082529054,2.3885785339641044,1,4,29,45,0.3
1280,1280,ofmres,8832,0.7644426024929112,0.17019256109851244,3.3451475367996677,50,12,261,1000,0.0
1280,1280,onxpdisj,6114,0.8600927808344112,0.3390223313118971,3.041264246234004,1,16,216,543,0.9
1280,1280,opelidres,4536,0.9019841269841271,0.4959364962781802,2.029023548827067,1,4,103,369,0.7
1280,1280,pm2.48,516,0.9477420227149811,0.23965976666467537,2.5210238373364047,2,7,48,71,0.8
1280,1280,rabxm,2682,0.9268861762983649,0.2636131672343395,2.3154342474752725,1,4,76,62,0.8
1280,1280,rex0,1764,0.9505136748576981,0.42969698876644136,1.7685675721533325,1,2,107,622,0.6
1280,1280,riotass2,4446,0.8604107590683342,0.151208779234824,2.836296363760544,1,2,270,59,0.5
1280,1280,unab,2328,0.9337449516420449,0.3167396037679812,1.5354617891050004,1,15,60,160,1.0
