shell,target,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
40,unbnn2,0.8053472042542285,0.3260474671775547,2.0592964028602743,15,3,325,232,0.0
40,wfr3g,0.8286383957369479,0.4190358105859748,2.333992764103909,14,11,223,36,0.0
80,el2xptp0,0.8743605307367529,0.42721658355733433,2.4849655102822696,50,6,165,132,0.0
80,f1finf1o,0.8465924827092819,0.4701981904225492,2.100023963064407,1,2,258,286,1.0
80,f1opwfi,0.8546558967495715,0.44125159815350706,2.3510261170579,2,1,34,176,0.2
80,fnsuppeq0,0.835377894173436,0.4126270284652682,2.357996208960114,42,1,222,50,0.0
80,isores3,0.8803493940954648,0.48011682847273185,2.68782454491517,22,7,341,140,0.0
80,naddoa,0.7795135086458591,0.3735631401071717,1.9057245853138192,1,2,18,90,0.3
80,naddss1,0.8052309851187415,0.37329516452001416,1.9719086146325597,1,1,736,1197,0.4
80,naddssim,0.8074475987059007,0.3693132721267942,2.1186198168867967,1,2,2,120,0.5
80,nnaword1,0.8233363039135422,0.47599903769726065,3.906914795035687,1,5,206,1728,0.7
80,nnsdomo,0.8356021348421476,0.42093593445612554,2.3942397894899536,1,2,244,244,0.7
80,oa0,0.84655297964393,0.40390694685747996,2.224316954406885,1,4,551,761,1.0
80,oalim,0.8252198056072798,0.44715067094496186,2.947257522829877,1,12,1,480,0.5
80,oaword2,0.8295534528949262,0.35889979507377123,2.3863861473287025,1,1,345,563,0.9
80,oelim,0.8298926427630636,0.4142744370636704,2.809428460561504,1,3,1,1532,0.5
80,oesuc,0.831056664825654,0.44510692194039253,2.3571156889457625,1,2,43,4265,0.2
80,onfin,0.8425612591215271,0.43693495066865284,2.190178967373628,1,3,13,584,1.0
80,rdgsuc,0.8497983091492864,0.43835002246539595,2.969936709583412,1,1,51,981,0.9
80,releldmdifi,0.8882678971131059,0.38128829390109586,2.9452733384282888,1,1,24,308,1.0
80,unbnn2,0.8187464292819867,0.3854953326348447,2.051036369024719,2,4,388,583,0.3
80,wfr3g,0.8352617666990012,0.46999768282628795,2.4163743606325334,11,9,93,59,0.0
